Dataset,Backbone,NA Acc.,RT MSE,Runtime (h)
BPI12,Llama3.2-1b [LoRA],0.7100,1.2500,1.800
BPI12,"Llama3.2-1b [Freezing--1, -2]",0.6500,1.4000,1.200
BPI12,Llama3.2-1b [Freezing--1],0.6600,1.3500,1.150
BPI12,"Llama3.2-1b [Freezing-0, 1]",0.7000,1.4500,1.200
BPI12,Llama3.2-1b [Freezing-0],0.6800,1.3800,1.150
BPI12,Llama3.2-1b [Freezing],0.5500,1.5000,1.000

BPI17,Llama3.2-1b [LoRA],0.8300,0.8500,3.500
BPI17,"Llama3.2-1b [Freezing--1, -2]",0.8000,1.0000,2.500
BPI17,Llama3.2-1b [Freezing--1],0.8100,0.9500,2.400
BPI17,"Llama3.2-1b [Freezing-0, 1]",0.8200,1.0500,2.500
BPI17,Llama3.2-1b [Freezing-0],0.8050,1.0200,2.400
BPI17,Llama3.2-1b [Freezing],0.7900,1.1000,2.200

BPI20PTC,Llama3.2-1b [LoRA],0.8100,1.0500,0.100
BPI20PTC,"Llama3.2-1b [Freezing--1, -2]",0.6000,1.1500,0.065
BPI20PTC,Llama3.2-1b [Freezing--1],0.5900,1.2000,0.060
BPI20PTC,"Llama3.2-1b [Freezing-0, 1]",0.6200,1.1800,0.065
BPI20PTC,Llama3.2-1b [Freezing-0],0.6000,1.2200,0.060
BPI20PTC,Llama3.2-1b [Freezing],0.5700,1.3000,0.055

BPI20RfP,Llama3.2-1b [LoRA],0.8000,0.9500,0.200
BPI20RfP,"Llama3.2-1b [Freezing--1, -2]",0.8600,0.9000,0.150
BPI20RfP,Llama3.2-1b [Freezing--1],0.8650,0.9200,0.140
BPI20RfP,"Llama3.2-1b [Freezing-0, 1]",0.8620,1.0000,0.150
BPI20RfP,Llama3.2-1b [Freezing-0],0.8600,1.0500,0.140
BPI20RfP,Llama3.2-1b [Freezing],0.8500,1.0000,0.125

BPI20TPD,Llama3.2-1b [LoRA],0.7300,1.1000,0.650
BPI20TPD,"Llama3.2-1b [Freezing--1, -2]",0.6400,1.2000,0.400
BPI20TPD,Llama3.2-1b [Freezing--1],0.6000,1.3500,0.380
BPI20TPD,"Llama3.2-1b [Freezing-0, 1]",0.6800,1.1500,0.400
BPI20TPD,Llama3.2-1b [Freezing-0],0.6200,1.2500,0.380
BPI20TPD,Llama3.2-1b [Freezing],0.5900,1.3000,0.350

BPITrafficFines,Llama3.2-1b [LoRA],0.8000,1.0000,0.450
BPITrafficFines,"Llama3.2-1b [Freezing--1, -2]",0.7600,1.1000,0.300
BPITrafficFines,Llama3.2-1b [Freezing--1],0.7650,1.0800,0.280
BPITrafficFines,"Llama3.2-1b [Freezing-0, 1]",0.7550,1.1500,0.300
BPITrafficFines,Llama3.2-1b [Freezing-0],0.7500,1.1200,0.280
BPITrafficFines,Llama3.2-1b [Freezing],0.7000,1.2000,0.250
