Dataset,Backbone,NA Acc.,RT MSE,Runtime (h)
BPI12,PM-GPT2 [LoRA],0.8400,0.7500,0.400
BPI12,"PM-GPT2 [Freezing--1, -2]",0.8100,0.8500,0.280
BPI12,PM-GPT2 [Freezing--1],0.8150,0.8200,0.270
BPI12,"PM-GPT2 [Freezing-0, 1]",0.8300,0.8800,0.280
BPI12,PM-GPT2 [Freezing-0],0.8200,0.8600,0.270
BPI12,PM-GPT2 [Freezing],0.7900,0.9000,0.250

BPI17,PM-GPT2 [LoRA],0.8650,0.6800,1.000
BPI17,"PM-GPT2 [Freezing--1, -2]",0.8400,0.7500,0.700
BPI17,PM-GPT2 [Freezing--1],0.8450,0.7200,0.680
BPI17,"PM-GPT2 [Freezing-0, 1]",0.8550,0.7800,0.700
BPI17,PM-GPT2 [Freezing-0],0.8500,0.7500,0.680
BPI17,PM-GPT2 [Freezing],0.8300,0.8000,0.650

BPI20PTC,PM-GPT2 [LoRA],0.8600,0.7000,0.025
BPI20PTC,"PM-GPT2 [Freezing--1, -2]",0.7800,0.7500,0.018
BPI20PTC,PM-GPT2 [Freezing--1],0.7500,0.8000,0.017
BPI20PTC,"PM-GPT2 [Freezing-0, 1]",0.8000,0.7800,0.018
BPI20PTC,PM-GPT2 [Freezing-0],0.7600,0.8200,0.017
BPI20PTC,PM-GPT2 [Freezing],0.7400,0.8500,0.015

BPI20RfP,PM-GPT2 [LoRA],0.8100,0.5500,0.045
BPI20RfP,"PM-GPT2 [Freezing--1, -2]",0.8450,0.6000,0.035
BPI20RfP,PM-GPT2 [Freezing--1],0.8500,0.5800,0.033
BPI20RfP,"PM-GPT2 [Freezing-0, 1]",0.8400,0.6500,0.035
BPI20RfP,PM-GPT2 [Freezing-0],0.8420,0.6200,0.033
BPI20RfP,PM-GPT2 [Freezing],0.8350,0.6800,0.030

BPI20TPD,PM-GPT2 [LoRA],0.8000,0.6500,0.150
BPI20TPD,"PM-GPT2 [Freezing--1, -2]",0.7600,0.7000,0.110
BPI20TPD,PM-GPT2 [Freezing--1],0.7400,0.7500,0.105
BPI20TPD,"PM-GPT2 [Freezing-0, 1]",0.7800,0.7200,0.110
BPI20TPD,PM-GPT2 [Freezing-0],0.7500,0.7800,0.105
BPI20TPD,PM-GPT2 [Freezing],0.7300,0.8000,0.095

BPITrafficFines,PM-GPT2 [LoRA],0.8500,0.6000,0.120
BPITrafficFines,"PM-GPT2 [Freezing--1, -2]",0.8200,0.6500,0.085
BPITrafficFines,PM-GPT2 [Freezing--1],0.8250,0.6300,0.080
BPITrafficFines,"PM-GPT2 [Freezing-0, 1]",0.8350,0.6800,0.085
BPITrafficFines,PM-GPT2 [Freezing-0],0.8280,0.6600,0.080
BPITrafficFines,PM-GPT2 [Freezing],0.8100,0.7000,0.075
