Dataset,Backbone,NA Acc.,RT MSE,Runtime (h)
BPI12,"Qwen2.5-0.5b [Freezing--1, -2]",0.6797,2.2958,0.278
BPI12,Qwen2.5-0.5b [Freezing--1],0.6817,2.1029,0.26
BPI12,"Qwen2.5-0.5b [Freezing-0, 1]",0.7813,2.3489,0.277
BPI12,Qwen2.5-0.5b [Freezing-0],0.7728,2.0417,0.259
BPI12,Qwen2.5-0.5b [Freezing],0.5728,2.2798,0.234
BPI12,Qwen2.5-0.5b [LoRA],0.7395,2.3896,0.498

BPI17,"Qwen2.5-0.5b [Freezing--1, -2]",0.8324,0.9383,1.122
BPI17,Qwen2.5-0.5b [Freezing--1],0.8523,0.8209,1.011
BPI17,"Qwen2.5-0.5b [Freezing-0, 1]",0.8450,0.9500,1.100
BPI17,Qwen2.5-0.5b [Freezing-0],0.8287,1.6095,1.053
BPI17,Qwen2.5-0.5b [Freezing],0.8313,0.8928,1.006
BPI17,Qwen2.5-0.5b [LoRA],0.8550,0.8800,2.250

BPI20PTC,"Qwen2.5-0.5b [Freezing--1, -2]",0.6186,0.9406,0.032
BPI20PTC,Qwen2.5-0.5b [Freezing--1],0.6032,1.0513,0.029
BPI20PTC,"Qwen2.5-0.5b [Freezing-0, 1]",0.6418,0.9629,0.032
BPI20PTC,Qwen2.5-0.5b [Freezing-0],0.6117,0.9842,0.029
BPI20PTC,Qwen2.5-0.5b [Freezing],0.5962,1.2084,0.027
BPI20PTC,Qwen2.5-0.5b [LoRA],0.799,0.8767,0.066

BPI20RfP,"Qwen2.5-0.5b [Freezing--1, -2]",0.8912,0.6805,0.089
BPI20RfP,Qwen2.5-0.5b [Freezing--1],0.8931,0.6907,0.08
BPI20RfP,"Qwen2.5-0.5b [Freezing-0, 1]",0.8919,0.7523,0.089
BPI20RfP,Qwen2.5-0.5b [Freezing-0],0.8912,0.7971,0.082
BPI20RfP,Qwen2.5-0.5b [Freezing],0.8896,0.7061,0.074
BPI20RfP,Qwen2.5-0.5b [LoRA],0.8909,0.6703,0.209

BPI20TPD,"Qwen2.5-0.5b [Freezing--1, -2]",0.659,0.9354,0.116
BPI20TPD,Qwen2.5-0.5b [Freezing--1],0.6178,1.104,0.106
BPI20TPD,"Qwen2.5-0.5b [Freezing-0, 1]",0.7053,0.8811,0.116
BPI20TPD,Qwen2.5-0.5b [Freezing-0],0.6399,0.9249,0.103
BPI20TPD,Qwen2.5-0.5b [Freezing],0.6091,0.8379,0.094
BPI20TPD,Qwen2.5-0.5b [LoRA],0.7649,0.9149,0.228

BPITrafficFines,"Qwen2.5-0.5b [Freezing--1, -2]",0.7800,0.8500,0.180
BPITrafficFines,Qwen2.5-0.5b [Freezing--1],0.7850,0.8300,0.165
BPITrafficFines,"Qwen2.5-0.5b [Freezing-0, 1]",0.7750,0.9200,0.180
BPITrafficFines,Qwen2.5-0.5b [Freezing-0],0.7700,0.8800,0.165
BPITrafficFines,Qwen2.5-0.5b [Freezing],0.7200,0.9500,0.150
BPITrafficFines,Qwen2.5-0.5b [LoRA],0.8100,0.8000,0.350
